Profile for Pan
===============

Update or replace this file as new information becomes available.

Conditions of this profile:
   Optimized code, gcc level 1.
   Run 1088, 34787 events, local I/O.
   Note that the cumulative time (6.7 sec) falls far short of the
   real time of the code, typically it is only 15% of the real time.


Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      6.69     0.00       34     0.00     0.00  __insert__t7rb_tree5Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Z8TaKeyMapZt9select1st1Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Z8TaKeyMapZt4less1Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt24__default_alloc_template2b1i0P19__rb_tree_node_baseT1RCt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Z8TaKeyMap
  0.00      6.69     0.00       34     0.00     0.00  pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, TaKeyMap>::pair(pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, TaKeyMap> const &)
  0.00      6.69     0.00       34     0.00     0.00  rb_tree<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >, pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, TaKeyMap>, select1st<pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, TaKeyMap> >, less<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > >, __default_alloc_template<true, 0> >::find(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const &)
  0.00      6.69     0.00       33     0.00     0.00  deque<VaPair *, __default_alloc_template<true, 0>, 0>::reallocate_map(unsigned int, bool)
  0.00      6.69     0.00       31     0.00     0.00  rb_tree<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >, pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, vector<dtype *, __default_alloc_template<true, 0> > >, select1st<pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, vector<dtype *, __default_alloc_template<true, 0> > > >, less<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > >, __default_alloc_template<true, 0> >::count(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const &) const
  0.00      6.69     0.00       30     0.00     0.00  rb_tree<int, pair<int const, vector<int, __default_alloc_template<true, 0> > >, select1st<pair<int const, vector<int, __default_alloc_template<true, 0> > > >, less<int>, __default_alloc_template<true, 0> >::insert_unique(pair<int const, vector<int, __default_alloc_template<true, 0> > > const &)
  0.00      6.69     0.00       25     0.00     0.00  __insert__t7rb_tree5ZiZt4pair2ZCiZt6vector2ZiZt24__default_alloc_template2b1i0Zt9select1st1Zt4pair2ZCiZt6vector2ZiZt24__default_alloc_template2b1i0Zt4less1ZiZt24__default_alloc_template2b1i0P19__rb_tree_node_baseT1RCt4pair2ZCiZt6vector2ZiZt24__default_alloc_template2b1i0
  0.00      6.69     0.00       20     0.00     0.00  TaAsciiDB::GetKeyMap(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >) const
  0.00      6.69     0.00       20     0.00     0.00  rb_tree<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >, pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, TaKeyMap>, select1st<pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, TaKeyMap> >, less<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > >, __default_alloc_template<true, 0> >::find(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const &) const
  0.00      6.69     0.00       14     0.00     0.00  TaRun::GetKey(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >) const
